tag_code,mark_file_name,site_name,first_time_value,last_time_value,first_antenna_group_name,last_antenna_group_name,release_date_mmddyyyy,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site_name,mark_date_mmddyyyy,mark_site_name,mark_site_code_value,mark_year_yyyy,site_code_value,srr_code,srr_name,count,mark_month,brood_yr,spawn_yr,TRT
384.3B23AC07DF,CBB14027.HEV,LC2 - Upper Lolo Creek at rkm 25,2017-04-05T13:32:00Z,2017-04-05T13:32:00Z,SINGLE ARRAY,SINGLE ARRAY,4/21/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-27,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC2,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B23AC56C9,CBB14029.HEV,SC1 - Lower SF Clearwater R at rkm 1,2017-02-21T13:25:00Z,2017-02-21T13:26:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/15/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-01-29,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRSFC-s
384.3B23ACDF89,CBB14027.HEV,LC2 - Upper Lolo Creek at rkm 25,2017-04-15T12:15:00Z,2017-04-15T12:15:00Z,SINGLE ARRAY,SINGLE ARRAY,4/21/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-27,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC2,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
3D9.1C2D69DF55,BDL16040.W22,SC1 - Lower SF Clearwater R at rkm 1,2018-10-27T23:05:00Z,2018-10-27T23:07:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D69DF55,BDL16040.W22,SC2 - Lower SF Clearwater R at rkm 2,2018-10-28T08:33:00Z,2018-10-28T08:33:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D69F66E,BDL16040.W13,SC1 - Lower SF Clearwater R at rkm 1,2019-03-17T19:55:00Z,2019-03-17T19:57:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6A016F,BDL16040.W12,SC2 - Lower SF Clearwater R at rkm 2,2019-03-18T20:24:00Z,2019-03-18T20:24:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6A50AB,BDL16040.W22,SC1 - Lower SF Clearwater R at rkm 1,2018-11-03T15:46:00Z,2019-03-18T22:23:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6A50AB,BDL16040.W22,SC2 - Lower SF Clearwater R at rkm 2,2019-03-19T02:27:00Z,2019-03-19T02:27:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6AE507,BDL16040.W43,SC1 - Lower SF Clearwater R at rkm 1,2018-10-29T16:14:00Z,2019-03-19T19:35:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6AE507,BDL16040.W43,SC2 - Lower SF Clearwater R at rkm 2,2018-10-29T18:22:00Z,2019-03-19T22:44:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6AF96C,BDL16040.W23,SC2 - Lower SF Clearwater R at rkm 2,2018-10-29T13:09:00Z,2018-10-29T13:09:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
