SiteID,SiteType,SiteName,Node,ESU_DPS,MPG,POP_NAME,TRT
CCW,INT,Catherine Creek Ladder/Weir,CCWB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Catherine Creek,GRCAT
CLC,INT,Clear Creek near Kooskia NFH,CLC,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Lawyer Creek,SCLAW
CMP,INT,Camp Creek at rkm 2 - Imnaha,CMPA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Big Sheep Creek,IRBSH
CMP,INT,Camp Creek at rkm 2 - Imnaha,CMPB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Big Sheep Creek,IRBSH
COC,INT,Cow Creek ISA @ stream mouth,COCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
COC,INT,Cow Creek ISA @ stream mouth,COCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
CRC,INT,"Carmen Creek, Salmon R. Basin",CRCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
CRC,INT,"Carmen Creek, Salmon R. Basin",CRCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
CRT,INT,Crooked River Satellite Fac.,SC2A0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Upper South Fork Clearwater,SCUMA
CZY,INT,Crazyman Creek at 0.6 km,CZYA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
CZY,INT,Crazyman Creek at 0.6 km,CZYB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
ESS,INT,EFSF Salmon River at Parks Cr.,ESSA0,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River,East Fork South Fork Salmon River,SFEFS
ESS,INT,EFSF Salmon River at Parks Cr.,ESSB0,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River,East Fork South Fork Salmon River,SFEFS
HEC,INT,Hawley Cr/18 Mile Cr Array,HECA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
HEC,INT,Hawley Cr/18 Mile Cr Array,HECB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
HLM,INT,Potlatch River near Helmer,HLMA0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Polatch River,CRPOT
HLM,INT,Potlatch River near Helmer,HLMB0,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Polatch River,CRPOT
