Year,Species,TRT,HNC,n_tags_hnc,cv_hnc,Wild,n_tags_wild,cv_wild,pHOS,pHOS_se,pHOS_cv
2019,Steelhead,SRLEM-s,0,0,NaN,65,13,0.233,0,0,NaN
2019,Steelhead,SRNFS-s,0,0,NaN,94,21,0.182,0,0,NaN
2019,Steelhead,SRPAH-s,235,53,0.1625531914893617,37,9,0.364,0.8639705882352942,0.046943996480658244,0.05433517890527252
2019,Steelhead,SRPAN-s,0,0,NaN,108,25,0.166,0,0,NaN
2019,Steelhead,SRUMA-s,26,4,0.4361782654946723,40,8,0.362,0.3939393939393939,0.13502669882933277,0.3427600816436909
2019,Steelhead,SFSEC-s,0,0,NaN,30,5,0.398,0,0,NaN
2019,Steelhead,SFMAI-s,0,0,NaN,199,36,0.151,0,0,NaN
2019,Steelhead,CRLMA-s,0,0,NaN,193,38,0.154,0,0,NaN
2019,Steelhead,SNTUC-s,67,13,0.28507462686567164,292,44,0.252,0.18662952646239556,0.0577288497623269,0.30932323977127396
2019,Steelhead,MFBIG-s,0,0,NaN,83,17,0.19,0,0,NaN
2019,Steelhead,SRLSR-s,0,0,NaN,11,2,0.458,0,0,NaN
